frame_idx,t_capture_ms,t_yolo_ms,t_vo_ms,t_gt_ms,t_control_show_ms,t_total_ms,fps
"[0, 0.8339881896972656, 2360.4495525360107, 90.56282043457031, 2.046823501586914, 94.30193901062012, 2457.632303237915, 0.40689569333968567]"
"[1, 3.2052993774414062, 1379.5349597930908, 93.37496757507324, 2.01416015625, 153.4566879272461, 1538.2111072540283, 0.6501058244113008]"
"[2, 1.5833377838134766, 1243.593692779541, 54.70538139343262, 2.000093460083008, 57.40618705749512, 1304.5833110809326, 0.7665282788045438]"
"[3, 0.9372234344482422, 1249.112606048584, 115.65232276916504, 2.0139217376708984, 118.2851791381836, 1370.3489303588867, 0.7297411468319281]"
"[4, 0.9291172027587891, 1308.3300590515137, 58.68029594421387, 1.8837451934814453, 61.44070625305176, 1372.5836277008057, 0.7285530584938457]"
"[5, 0.8869171142578125, 1260.727882385254, 58.629751205444336, 1.886129379272461, 61.27500534057617, 1324.7759342193604, 0.7548446300764526]"
"[6, 0.7753372192382812, 1427.452802658081, 57.5108528137207, 1.886129379272461, 174.393892288208, 1604.5081615447998, 0.6232439472524794]"
"[7, 0.8087158203125, 1235.393762588501, 67.80266761779785, 1.8873214721679688, 191.21146202087402, 1429.3012619018555, 0.6996425642760442]"
"[8, 0.7481575012207031, 1147.1607685089111, 57.488441467285156, 1.8711090087890625, 60.11629104614258, 1209.8963260650635, 0.8265170977519143]"
"[9, 0.8065700531005859, 1294.694423675537, 110.37707328796387, 2.0151138305664062, 228.87706756591797, 1526.393175125122, 0.655139197617303]"
"[10, 1.1680126190185547, 1197.8390216827393, 63.32850456237793, 1.8663406372070312, 219.47932243347168, 1420.3526973724365, 0.7040504811586146]"
"[11, 0.7240772247314453, 1215.6310081481934, 102.25319862365723, 1.981973648071289, 104.87079620361328, 1323.2078552246094, 0.7557391652804645]"
"[12, 0.7581710815429688, 1255.4969787597656, 62.41321563720703, 1.8701553344726562, 162.7519130706787, 1420.87721824646, 0.7037905789172445]"
"[13, 0.7781982421875, 1254.6906471252441, 69.81158256530762, 1.8739700317382812, 203.79257202148438, 1461.1353874206543, 0.6843992751180316]"
"[14, 0.8091926574707031, 1259.0742111206055, 69.58460807800293, 1.8661022186279297, 210.0355625152588, 1471.785068511963, 0.6794470343492766]"
"[15, 0.75531005859375, 1328.6406993865967, 64.76330757141113, 1.8641948699951172, 171.1878776550293, 1502.4480819702148, 0.6655804030769993]"
"[16, 0.8304119110107422, 1212.538480758667, 52.196502685546875, 1.870870590209961, 54.68606948852539, 1269.925832748413, 0.787447561276684]"
"[17, 0.7233619689941406, 1332.9033851623535, 65.37938117980957, 1.8651485443115234, 222.77164459228516, 1558.2635402679443, 0.641739971550672]"
"[18, 0.7565021514892578, 1305.6972026824951, 67.5663948059082, 1.8794536590576172, 200.12879371643066, 1508.4619522094727, 0.6629268961907068]"
"[19, 0.8077621459960938, 1325.1936435699463, 70.47486305236816, 1.8737316131591797, 210.28542518615723, 1538.1605625152588, 0.6501271872194941]"
"[20, 0.7231235504150391, 1327.0277976989746, 128.68714332580566, 1.901388168334961, 131.33001327514648, 1460.982322692871, 0.6844709785104093]"
"[21, 0.9737014770507812, 1288.2215976715088, 89.42770957946777, 1.8830299377441406, 330.5175304412842, 1621.595859527588, 0.6166764635741765]"
"[22, 0.8389949798583984, 1213.1025791168213, 87.64386177062988, 1.8625259399414062, 320.13893127441406, 1535.9430313110352, 0.6510658140402706]"
"[23, 0.7598400115966797, 1155.7846069335938, 147.53484725952148, 1.8625259399414062, 150.01344680786133, 1308.4204196929932, 0.7642803375345054]"
"[24, 0.8001327514648438, 1313.0168914794922, 83.61625671386719, 1.8723011016845703, 86.11392974853516, 1401.8032550811768, 0.7133668696910618]"
"[25, 0.7560253143310547, 1331.9427967071533, 80.46603202819824, 1.8792152404785156, 260.2105140686035, 1594.7885513305664, 0.627042374467561]"
"[26, 0.7932186126708984, 1245.0532913208008, 77.84485816955566, 1.964569091796875, 250.94842910766602, 1498.7595081329346, 0.667218452709428]"
"[27, 0.7762908935546875, 1263.7598514556885, 95.27993202209473, 1.9993782043457031, 97.78380393981934, 1364.3193244934082, 0.7329662360175941]"
"[28, 0.8025169372558594, 1269.0787315368652, 70.25742530822754, 1.8737316131591797, 72.74293899536133, 1344.4979190826416, 0.7437720697123172]"
"[29, 0.759124755859375, 1298.6440658569336, 69.20933723449707, 1.8742084503173828, 71.69842720031738, 1372.9758262634277, 0.7283449430581116]"
"[30, 0.7526874542236328, 1253.6804676055908, 68.9849853515625, 1.870870590209961, 71.47932052612305, 1327.7833461761475, 0.7531349168370555]"
"[31, 0.7622241973876953, 1331.1517238616943, 68.98093223571777, 1.8606185913085938, 71.47431373596191, 1405.2488803863525, 0.7116177169449619]"
"[32, 0.8420944213867188, 1291.5775775909424, 68.45331192016602, 1.8768310546875, 70.91832160949707, 1365.2148246765137, 0.7324854535160421]"
"[33, 1.4395713806152344, 1193.6242580413818, 118.10684204101562, 1.9757747650146484, 120.59497833251953, 1317.6345825195312, 0.7589357575055731]"
"[34, 0.7383823394775391, 1280.0099849700928, 117.49887466430664, 1.972198486328125, 119.97318267822266, 1402.693748474121, 0.7129139921581745]"
"[35, 0.7410049438476562, 1273.5137939453125, 87.51916885375977, 1.9750595092773438, 90.01588821411133, 1366.2457466125488, 0.7319327452468829]"
"[36, 0.8177757263183594, 1227.522611618042, 69.2300796508789, 1.8644332885742188, 71.73037528991699, 1301.9351959228516, 0.7680873849417439]"
"[37, 0.8797645568847656, 1356.868028640747, 69.62919235229492, 1.8737316131591797, 72.11947441101074, 1431.7409992218018, 0.6984503485920518]"
"[38, 0.7486343383789062, 1217.3082828521729, 111.57512664794922, 1.9831657409667969, 114.04299736022949, 1334.083080291748, 0.7495785043472045]"
"[39, 0.7581710815429688, 1244.246244430542, 97.44453430175781, 2.0012855529785156, 99.94053840637207, 1346.9462394714355, 0.7424201283582164]"
"[40, 0.7758140563964844, 1275.9251594543457, 69.53907012939453, 1.8749237060546875, 72.01933860778809, 1350.595235824585, 0.7404142806630482]"
"[41, 0.7722377777099609, 1187.990427017212, 125.82707405090332, 2.0117759704589844, 128.29875946044922, 1319.07320022583, 0.758108041182852]"
"[42, 0.8339881896972656, 1301.8896579742432, 125.55098533630371, 1.9719600677490234, 128.0217170715332, 1432.7173233032227, 0.6979743901570445]"
"[43, 0.8502006530761719, 1294.8472499847412, 101.57895088195801, 1.8737316131591797, 104.22945022583008, 1401.8006324768066, 0.7133682043167043]"
"[44, 3.816843032836914, 1254.5440196990967, 88.66691589355469, 1.99127197265625, 91.16196632385254, 1351.5141010284424, 0.7399108890088859]"
"[45, 0.7679462432861328, 1350.7251739501953, 69.02337074279785, 1.8739700317382812, 71.51484489440918, 1424.881935119629, 0.7018125329212227]"
"[46, 0.8664131164550781, 1292.210578918457, 69.01407241821289, 1.8649101257324219, 71.48528099060059, 1366.4271831512451, 0.7318355579649746]"
"[47, 0.6844997406005859, 1182.9769611358643, 69.03243064880371, 1.874685287475586, 71.52390480041504, 1257.0600509643555, 0.7955069443443442]"
"[48, 0.8046627044677734, 1228.2702922821045, 65.70935249328613, 1.874685287475586, 68.33982467651367, 1299.2894649505615, 0.7696514340921331]"
"[49, 0.9033679962158203, 1413.0096435546875, 54.36420440673828, 1.8761157989501953, 57.016611099243164, 1472.8057384490967, 0.6789761703760242]"
"[50, 0.7960796356201172, 1249.0127086639404, 51.91850662231445, 1.8725395202636719, 54.550886154174805, 1306.232213973999, 0.7655606631822857]"
"[51, 0.7700920104980469, 1185.8701705932617, 83.7564468383789, 1.8544197082519531, 86.669921875, 1275.1646041870117, 0.7842124826210617]"
"[52, 1.252889633178711, 1237.4038696289062, 31.99911117553711, 1.8715858459472656, 34.62576866149902, 1275.1541137695312, 0.7842189341677785]"
"[53, 0.7693767547607422, 1195.9247589111328, 36.13638877868652, 1.85394287109375, 39.72792625427246, 1238.2760047912598, 0.807574398704894]"
"[54, 0.7991790771484375, 1233.055591583252, 37.23430633544922, 1.871347427368164, 39.858102798461914, 1275.5842208862305, 0.7839545077668298]"
"[55, 0.7727146148681641, 1243.8416481018066, 31.740903854370117, 1.8777847290039062, 34.51371192932129, 1281.005859375, 0.7806365542214598]"
"[56, 1.1076927185058594, 1261.2669467926025, 29.239892959594727, 1.8680095672607422, 31.82530403137207, 1296.0679531097412, 0.7715644828657588]"
"[57, 0.9992122650146484, 1247.8468418121338, 38.797855377197266, 1.8732547760009766, 41.4426326751709, 1292.1619415283203, 0.7738968064770874]"
"[58, 0.8254051208496094, 1354.9025058746338, 47.75714874267578, 1.8718242645263672, 50.40407180786133, 1408.003807067871, 0.71022535236071]"
"[59, 0.8618831634521484, 1280.6155681610107, 56.14781379699707, 1.9905567169189453, 58.78329277038574, 1342.2513008117676, 0.7450169721535895]"
"[60, 0.7719993591308594, 1239.4928932189941, 37.38212585449219, 1.867532730102539, 40.016889572143555, 1282.149314880371, 0.7799403613870849]"
"[61, 1.1668205261230469, 1336.8113040924072, 50.85277557373047, 1.8961429595947266, 53.35569381713867, 1393.2299613952637, 0.7177565999216241]"
"[62, 0.8611679077148438, 1246.4020252227783, 100.89850425720215, 1.9664764404296875, 103.39784622192383, 1352.6275157928467, 0.7393018316752539]"
"[63, 0.8416175842285156, 1252.5756359100342, 35.08639335632324, 1.8825531005859375, 37.57190704345703, 1292.8717136383057, 0.7734719457863863]"
"[64, 2.128124237060547, 1306.9019317626953, 20.31850814819336, 1.8839836120605469, 22.7968692779541, 1333.7109088897705, 0.7497876738763698]"
"[65, 0.9229183197021484, 1354.8693656921387, 21.591663360595703, 1.86920166015625, 24.056196212768555, 1381.7176818847656, 0.7237368480628588]"
"[66, 0.8640289306640625, 1265.3427124023438, 60.99295616149902, 1.9845962524414062, 63.68064880371094, 1331.8719863891602, 0.7508229095733903]"
"[67, 0.8952617645263672, 1237.8942966461182, 68.53699684143066, 1.8780231475830078, 71.12979888916016, 1311.7973804473877, 0.7623128502200169]"
"[68, 1.2803077697753906, 1251.2552738189697, 66.47419929504395, 1.9657611846923828, 69.13638114929199, 1323.6377239227295, 0.7554937290820047]"
"[69, 1.0638236999511719, 1243.492603302002, 61.6297721862793, 1.9783973693847656, 64.28074836730957, 1310.8155727386475, 0.7628838265254434]"
"[70, 1.2309551239013672, 1267.2810554504395, 102.76937484741211, 1.9729137420654297, 105.39722442626953, 1375.8821487426758, 0.7268064353577313]"
"[71, 0.8738040924072266, 1369.60768699646, 47.335147857666016, 1.8718242645263672, 49.95369911193848, 1422.307014465332, 0.7030830825058653]"
"[72, 0.8015632629394531, 1211.7831707000732, 41.04280471801758, 1.8749237060546875, 43.64895820617676, 1258.1086158752441, 0.7948439326952049]"
"[73, 0.8714199066162109, 1298.4623908996582, 55.15289306640625, 1.9834041595458984, 57.72995948791504, 1359.0471744537354, 0.7358096310394426]"
"[74, 0.6747245788574219, 1316.3089752197266, 43.282270431518555, 1.8727779388427734, 45.945167541503906, 1364.8016452789307, 0.7327072058120399]"
"[75, 1.0116100311279297, 1258.242130279541, 81.37750625610352, 1.9795894622802734, 83.98818969726562, 1345.2215194702148, 0.7433719915466618]"
"[76, 1.0404586791992188, 1261.7919445037842, 106.58979415893555, 1.8706321716308594, 109.2221736907959, 1373.9252090454102, 0.7278416564572611]"
"[77, 2.9296875, 1273.1349468231201, 88.66000175476074, 1.8711090087890625, 91.56250953674316, 1369.4982528686523, 0.730194432818973]"
"[78, 1.0638236999511719, 1221.684217453003, 39.53218460083008, 1.8699169158935547, 42.16718673706055, 1266.7851448059082, 0.7893998474012861]"
"[79, 1.2259483337402344, 1261.845588684082, 102.20217704772949, 1.9962787628173828, 104.81715202331543, 1369.884967803955, 0.7299883008447688]"
"[80, 1.1446475982666016, 1167.2439575195312, 106.23717308044434, 1.939535140991211, 108.86430740356445, 1279.1924476623535, 0.7817432019923501]"
"[81, 2.2363662719726562, 1203.8884162902832, 99.03669357299805, 1.8711090087890625, 102.16498374938965, 1310.1608753204346, 0.7632650454131623]"
"[82, 2.2575855255126953, 1293.471097946167, 94.27094459533691, 1.8630027770996094, 97.35894203186035, 1394.9506282806396, 0.7168712495814709]"
"[83, 1.1076927185058594, 1228.2612323760986, 48.54226112365723, 1.8699169158935547, 51.46169662475586, 1282.700538635254, 0.7796051922329145]"
"[84, 1.1167526245117188, 1283.257246017456, 48.18415641784668, 1.8765926361083984, 50.961971282958984, 1337.2125625610352, 0.7478242636943193]"
