frame_idx,t_capture_ms,t_vo_ms,t_gt_ms,t_control_show_ms,t_total_ms,fps
"[0, 0.9021759033203125, 93.77431869506836, 1.8718242645263672, 3.7336349487304688, 100.28195381164551, 9.97188389327006]"
"[1, 0.9477138519287109, 65.887451171875, 1.9345283508300781, 110.4128360748291, 179.1825294494629, 5.580901235586378]"
"[2, 1.7096996307373047, 58.68673324584961, 2.271413803100586, 2.658367156982422, 65.32621383666992, 15.307790567814363]"
"[3, 0.9577274322509766, 110.73923110961914, 1.8749237060546875, 2.6378631591796875, 116.20974540710449, 8.605130288314571]"
"[4, 1.1963844299316406, 58.22491645812988, 1.9652843475341797, 2.531290054321289, 63.91787528991699, 15.645075739207956]"
"[5, 1.0673999786376953, 54.319143295288086, 1.9567012786865234, 2.5625228881835938, 59.9057674407959, 16.69288355229381]"
"[6, 1.0313987731933594, 54.473876953125, 1.9011497497558594, 2.5637149810791016, 59.97014045715332, 16.674965113921434]"
"[7, 0.9582042694091797, 53.71880531311035, 1.8606185913085938, 2.4878978729248047, 59.02552604675293, 16.94182274983742]"
"[8, 1.2230873107910156, 54.09502983093262, 1.9812583923339844, 2.4728775024414062, 59.77225303649902, 16.730170759823377]"
"[9, 1.180410385131836, 53.528547286987305, 1.9164085388183594, 2.583742141723633, 59.20910835266113, 16.88929335067508]"
"[10, 0.957489013671875, 57.13319778442383, 1.9173622131347656, 2.5599002838134766, 62.567949295043945, 15.982623871599557]"
"[11, 1.3875961303710938, 55.3739070892334, 1.9354820251464844, 2.501964569091797, 61.19894981384277, 16.340149676454203]"
"[12, 1.384735107421875, 54.404258728027344, 1.9352436065673828, 2.4840831756591797, 60.20832061767578, 16.60900004751873]"
"[13, 1.0554790496826172, 53.600311279296875, 1.93023681640625, 2.4983882904052734, 59.084415435791016, 16.92493684881647]"
"[14, 1.2660026550292969, 54.734230041503906, 1.9316673278808594, 2.505779266357422, 60.437679290771484, 16.545969529850804]"
"[15, 1.2536048889160156, 54.320573806762695, 1.9564628601074219, 2.5229454040527344, 60.05358695983887, 16.651794682451772]"
"[16, 1.2691020965576172, 55.26399612426758, 1.9578933715820312, 2.521514892578125, 61.01250648498535, 16.39008225708759]"
"[17, 1.592397689819336, 65.01340866088867, 1.9392967224121094, 2.5212764739990234, 71.06637954711914, 14.071351409381563]"
"[18, 1.4798641204833984, 72.79777526855469, 1.985788345336914, 2.498626708984375, 78.76205444335938, 12.69646922071003]"
"[19, 1.6307830810546875, 67.92664527893066, 1.9676685333251953, 2.4924278259277344, 74.01752471923828, 13.5103139937897]"
