label,conf,x1,y1,x2,y2
"[0, 1754243513.7823958, 'bottle', 0.8421505689620972, 453, 214, 581, 479]"
"[1, 1754243513.979361, 'bottle', 0.8421505689620972, 453, 214, 581, 479]"
"[2, 1754243514.1459308, 'bottle', 0.8421505689620972, 453, 214, 581, 479]"
"[3, 1754243514.311734, 'bottle', 0.8421505689620972, 453, 214, 581, 479]"
"[4, 1754243514.4785035, 'bottle', 0.8421505689620972, 453, 214, 581, 479]"
"[5, 1754243514.645297, 'bottle', 0.8421505689620972, 453, 214, 581, 479]"
"[6, 1754243514.8121295, 'bottle', 0.8421505689620972, 453, 214, 581, 479]"
"[7, 1754243514.9790208, 'bottle', 0.8421505689620972, 453, 214, 581, 479]"
"[8, 1754243515.145854, 'bottle', 0.8421505689620972, 453, 214, 581, 479]"
"[9, 1754243515.3125908, 'bottle', 0.8421505689620972, 453, 214, 581, 479]"
"[44, 1754243527.0940945, 'bottle', 0.8118126392364502, 442, 207, 569, 479]"
"[45, 1754243527.2597892, 'bottle', 0.8118126392364502, 442, 207, 569, 479]"
"[46, 1754243527.4264293, 'bottle', 0.8118126392364502, 442, 207, 569, 479]"
"[47, 1754243527.5932677, 'bottle', 0.8118126392364502, 442, 207, 569, 479]"
"[48, 1754243527.7601953, 'bottle', 0.8118126392364502, 442, 207, 569, 479]"
"[49, 1754243527.9268868, 'bottle', 0.8118126392364502, 442, 207, 569, 479]"
"[50, 1754243529.2793465, 'bottle', 0.832678496837616, 428, 150, 588, 479]"
"[51, 1754243529.333382, 'bottle', 0.832678496837616, 428, 150, 588, 479]"
"[52, 1754243529.4997153, 'bottle', 0.832678496837616, 428, 150, 588, 479]"
"[53, 1754243529.6665967, 'bottle', 0.832678496837616, 428, 150, 588, 479]"
"[54, 1754243529.8334346, 'bottle', 0.832678496837616, 428, 150, 588, 479]"
"[55, 1754243530.0002072, 'bottle', 0.832678496837616, 428, 150, 588, 479]"
"[56, 1754243530.166959, 'bottle', 0.832678496837616, 428, 150, 588, 479]"
"[57, 1754243530.3337843, 'bottle', 0.832678496837616, 428, 150, 588, 479]"
"[58, 1754243530.5007052, 'bottle', 0.832678496837616, 428, 150, 588, 479]"
"[59, 1754243530.6674712, 'bottle', 0.832678496837616, 428, 150, 588, 479]"
"[70, 1754243534.618776, 'bottle', 0.5598178505897522, 0, 41, 185, 478]"
"[71, 1754243534.656794, 'bottle', 0.5598178505897522, 0, 41, 185, 478]"
"[72, 1754243534.8232868, 'bottle', 0.5598178505897522, 0, 41, 185, 478]"
"[73, 1754243534.9900317, 'bottle', 0.5598178505897522, 0, 41, 185, 478]"
"[74, 1754243535.1570897, 'bottle', 0.5598178505897522, 0, 41, 185, 478]"
"[75, 1754243535.3239114, 'bottle', 0.5598178505897522, 0, 41, 185, 478]"
"[76, 1754243535.4909263, 'bottle', 0.5598178505897522, 0, 41, 185, 478]"
"[77, 1754243535.65774, 'bottle', 0.5598178505897522, 0, 41, 185, 478]"
"[78, 1754243535.8244793, 'bottle', 0.5598178505897522, 0, 41, 185, 478]"
"[79, 1754243535.9913094, 'bottle', 0.5598178505897522, 0, 41, 185, 478]"
"[157, 1754243561.5060515, 'vase', 0.5880544185638428, 109, 255, 204, 479]"
"[158, 1754243561.6725695, 'vase', 0.5880544185638428, 109, 255, 204, 479]"
"[159, 1754243561.8393316, 'vase', 0.5880544185638428, 109, 255, 204, 479]"
"[170, 1754243565.992247, 'bottle', 0.6477144956588745, 0, 238, 122, 479]"
"[171, 1754243566.0638983, 'bottle', 0.6477144956588745, 0, 238, 122, 479]"
"[172, 1754243566.2301834, 'bottle', 0.6477144956588745, 0, 238, 122, 479]"
"[173, 1754243566.3970044, 'bottle', 0.6477144956588745, 0, 238, 122, 479]"
"[174, 1754243566.5639024, 'bottle', 0.6477144956588745, 0, 238, 122, 479]"
"[175, 1754243566.730724, 'bottle', 0.6477144956588745, 0, 238, 122, 479]"
"[176, 1754243566.897586, 'bottle', 0.6477144956588745, 0, 238, 122, 479]"
"[177, 1754243567.0644643, 'bottle', 0.6477144956588745, 0, 238, 122, 479]"
"[178, 1754243567.231142, 'bottle', 0.6477144956588745, 0, 238, 122, 479]"
"[179, 1754243567.3980355, 'bottle', 0.6477144956588745, 0, 238, 122, 479]"
"[197, 1754243574.4549265, 'bottle', 0.603278398513794, 14, 227, 140, 479]"
"[198, 1754243574.6211221, 'bottle', 0.603278398513794, 14, 227, 140, 479]"
"[199, 1754243574.7881856, 'bottle', 0.603278398513794, 14, 227, 140, 479]"
"[200, 1754243576.213981, 'bottle', 0.8084198236465454, 0, 132, 121, 479]"
"[201, 1754243576.2579443, 'bottle', 0.8084198236465454, 0, 132, 121, 479]"
"[202, 1754243576.4244823, 'bottle', 0.8084198236465454, 0, 132, 121, 479]"
"[203, 1754243576.5914223, 'bottle', 0.8084198236465454, 0, 132, 121, 479]"
"[204, 1754243576.7582664, 'bottle', 0.8084198236465454, 0, 132, 121, 479]"
"[205, 1754243576.925202, 'bottle', 0.8084198236465454, 0, 132, 121, 479]"
"[206, 1754243577.0918782, 'bottle', 0.8084198236465454, 0, 132, 121, 479]"
"[207, 1754243577.258872, 'bottle', 0.8084198236465454, 0, 132, 121, 479]"
"[208, 1754243577.4261053, 'bottle', 0.8084198236465454, 0, 132, 121, 479]"
"[209, 1754243577.5928113, 'bottle', 0.8084198236465454, 0, 132, 121, 479]"
