frame_id,inference_time_s,fps
0,2.387,0.42
1,0.515,1.94
2,0.491,2.04
3,0.587,1.7
4,0.489,2.05
5,0.427,2.34
6,0.463,2.16
7,0.514,1.95
8,0.427,2.34
9,0.456,2.19
10,0.433,2.31
11,0.531,1.88
12,0.412,2.43
13,0.552,1.81
14,0.418,2.39
15,0.738,1.35
16,0.391,2.56
17,0.488,2.05
18,0.479,2.09
19,0.494,2.02
20,0.478,2.09
21,0.463,2.16
22,0.506,1.98
23,0.42,2.38
24,0.456,2.2
25,0.381,2.62
26,0.515,1.94
27,0.439,2.28
28,0.745,1.34
29,0.382,2.61
30,0.488,2.05
31,0.436,2.29
32,0.541,1.85
33,0.477,2.1
34,0.531,1.88
35,0.461,2.17
36,0.558,1.79
37,0.452,2.21
38,0.474,2.11
39,0.5,2.0
40,0.598,1.67
41,0.512,1.95
42,0.43,2.33
43,0.52,1.92
44,0.379,2.64
45,0.529,1.89
46,0.445,2.25
47,0.521,1.92
48,0.412,2.43
49,0.493,2.03
50,0.432,2.32
51,0.48,2.08
52,0.446,2.24
53,0.699,1.43
54,0.471,2.12
55,0.413,2.42
56,0.501,2.0
57,0.448,2.23
58,0.508,1.97
59,0.391,2.55
60,0.51,1.96
61,0.471,2.12
62,0.541,1.85
63,0.445,2.25
64,0.656,1.52
65,0.433,2.31
66,0.484,2.06
67,0.514,1.94
68,0.493,2.03
69,0.463,2.16
70,0.459,2.18
71,0.426,2.35
72,0.442,2.26
73,0.552,1.81
74,0.385,2.6
75,0.698,1.43
76,0.42,2.38
77,0.522,1.91
78,0.459,2.18
79,0.506,1.98
80,0.447,2.24
81,0.535,1.87
82,0.443,2.26
83,0.414,2.42
84,0.516,1.94
85,0.423,2.36
86,0.688,1.45
87,0.471,2.12
88,0.478,2.09
89,0.52,1.92
90,0.435,2.3
91,0.453,2.21
92,0.469,2.13
93,0.514,1.95
94,0.466,2.15
95,0.441,2.27
96,0.705,1.42
97,0.464,2.15
98,0.474,2.11
99,0.445,2.25
100,0.462,2.16
101,0.518,1.93
102,0.468,2.14
103,0.428,2.34
104,0.454,2.2
105,0.477,2.1
106,0.432,2.31
107,0.716,1.4
108,0.491,2.03
109,0.481,2.08
110,0.477,2.1
111,0.437,2.29
112,0.467,2.14
113,0.445,2.25
114,0.508,1.97
115,0.521,1.92
116,0.509,1.96
117,0.761,1.31
118,0.413,2.42
119,0.439,2.28
120,0.499,2.01
121,0.51,1.96
122,0.46,2.18
123,0.472,2.12
124,0.525,1.91
125,0.495,2.02
126,0.642,1.56
127,0.505,1.98
128,0.481,2.08
129,0.495,2.02
130,0.49,2.04
131,0.47,2.13
132,0.413,2.42
133,0.43,2.33
134,0.433,2.31
135,0.482,2.07
136,0.495,2.02
137,0.711,1.41
138,0.488,2.05
139,0.458,2.19
140,0.458,2.19
141,0.483,2.07
142,0.495,2.02
143,0.426,2.35
144,0.483,2.07
145,0.42,2.38
146,0.639,1.56
147,0.524,1.91
148,0.406,2.46
149,0.554,1.81
150,0.44,2.27
151,0.546,1.83
152,0.454,2.2
153,0.561,1.78
154,0.454,2.2
155,0.473,2.12
156,0.75,1.33
157,0.462,2.16
158,0.563,1.78
159,0.447,2.24
160,0.541,1.85
161,0.438,2.28
162,0.483,2.07
163,0.447,2.24
164,0.755,1.32
165,0.429,2.33
166,0.452,2.21
167,0.499,2.0
168,0.525,1.91
169,0.529,1.89
170,0.531,1.88
171,0.527,1.9
172,0.733,1.36
173,0.488,2.05
174,0.539,1.86
175,0.432,2.31
176,0.561,1.78
177,0.444,2.25
178,0.552,1.81
179,0.426,2.35
180,0.488,2.05
181,0.655,1.53
182,0.508,1.97
183,0.526,1.9
184,0.513,1.95
185,0.488,2.05
186,0.427,2.34
187,0.476,2.1
188,0.435,2.3
189,0.57,1.76
190,0.389,2.57
191,0.78,1.28
192,0.374,2.67
193,0.508,1.97
194,0.431,2.32
195,0.438,2.28
196,0.472,2.12
197,0.497,2.01
198,0.471,2.13
199,0.503,1.99
200,0.664,1.51
201,0.502,1.99
202,0.511,1.96
203,0.521,1.92
204,0.519,1.93
205,0.506,1.98
206,0.531,1.88
207,0.444,2.25
208,0.735,1.36
209,0.465,2.15
210,0.492,2.03
211,0.536,1.86
212,0.522,1.91
213,0.448,2.23
214,0.493,2.03
215,0.488,2.05
216,0.495,2.02
217,0.661,1.51
218,0.482,2.08
219,0.488,2.05
220,0.515,1.94
221,0.52,1.92
222,0.522,1.92
223,0.522,1.92
224,0.51,1.96
225,0.681,1.47
226,0.512,1.95
227,0.496,2.02
228,0.526,1.9
229,0.516,1.94
230,0.531,1.88
231,0.51,1.96
232,0.515,1.94
233,0.679,1.47
234,0.51,1.96
235,0.533,1.87
236,0.51,1.96
237,0.519,1.93
238,0.52,1.92
239,0.531,1.88
240,0.504,1.98
241,0.677,1.48
242,0.5,2.0
243,0.521,1.92
244,0.506,1.97
245,0.512,1.95
246,0.506,1.98
247,0.506,1.98
248,0.446,2.24
249,0.704,1.42
250,0.516,1.94
251,0.501,2.0
252,0.517,1.93
253,0.461,2.17
254,0.482,2.07
255,0.426,2.35
256,0.467,2.14
257,0.685,1.46
258,0.547,1.83
259,0.45,2.22
260,0.531,1.88
261,0.438,2.28
262,0.515,1.94
263,0.521,1.92
264,0.521,1.92
265,0.745,1.34
266,0.465,2.15
267,0.493,2.03
268,0.53,1.89
269,0.437,2.29
270,0.555,1.8
271,0.462,2.16
272,0.476,2.1
273,0.659,1.52
274,0.569,1.76
275,0.439,2.28
276,0.554,1.8
277,0.442,2.26
278,0.429,2.33
279,0.511,1.96
280,0.437,2.29
281,0.77,1.3
282,0.456,2.19
283,0.521,1.92
284,0.462,2.16
285,0.493,2.03
286,0.491,2.04
287,0.537,1.86
288,0.513,1.95
289,0.733,1.36
290,0.527,1.9
291,0.506,1.98
292,0.564,1.77
