frame_id,class_name,mean_conf,std_conf
0,person,0.646,0.0
1,person,0.665,0.0
1,chair,0.543,0.0
2,person,0.774,0.0
3,person,0.54,0.0
4,person,0.685,0.0
5,person,0.822,0.0
5,chair,0.672,0.021
6,chair,0.621,0.074
6,person,0.675,0.0
6,dining table,0.519,0.0
7,person,0.81,0.0
7,chair,0.687,0.075
7,dining table,0.556,0.0
8,chair,0.649,0.071
8,person,0.705,0.0
8,dining table,0.616,0.0
9,person,0.805,0.0
9,chair,0.62,0.096
9,dining table,0.603,0.0
10,person,0.856,0.0
10,chair,0.717,0.087
10,dining table,0.782,0.0
11,chair,0.7,0.122
11,dining table,0.805,0.0
11,person,0.776,0.0
12,chair,0.678,0.116
12,person,0.773,0.0
12,dining table,0.689,0.0
13,person,0.847,0.0
13,chair,0.645,0.141
13,dining table,0.67,0.0
14,person,0.889,0.0
14,chair,0.673,0.136
14,dining table,0.638,0.0
15,person,0.84,0.0
15,chair,0.654,0.13
15,dining table,0.689,0.0
16,chair,0.684,0.0
16,person,0.667,0.0
16,dining table,0.643,0.0
19,chair,0.613,0.035
21,dining table,0.618,0.0
22,dining table,0.527,0.0
23,dining table,0.637,0.0
24,dining table,0.761,0.0
24,person,0.742,0.0
24,chair,0.635,0.101
25,person,0.595,0.0
25,chair,0.584,0.0
26,person,0.81,0.0
26,chair,0.798,0.0
26,dining table,0.753,0.0
27,person,0.776,0.0
27,chair,0.654,0.118
27,dining table,0.767,0.0
27,tv,0.563,0.0
28,dining table,0.806,0.0
28,person,0.713,0.0
28,chair,0.705,0.0
29,chair,0.691,0.105
29,person,0.793,0.0
29,dining table,0.754,0.0
30,chair,0.646,0.068
30,person,0.72,0.0
30,dining table,0.698,0.0
31,chair,0.689,0.107
31,person,0.685,0.0
31,dining table,0.685,0.0
32,chair,0.656,0.117
32,person,0.77,0.0
32,dining table,0.707,0.0
33,person,0.8,0.0
33,chair,0.659,0.057
33,dining table,0.531,0.0
34,chair,0.747,0.052
34,person,0.722,0.0
35,person,0.859,0.0
35,chair,0.703,0.04
36,person,0.793,0.0
36,chair,0.687,0.049
37,person,0.845,0.0
37,chair,0.62,0.041
38,person,0.892,0.0
38,chair,0.681,0.039
39,chair,0.591,0.018
40,chair,0.639,0.088
41,chair,0.677,0.104
41,dining table,0.552,0.0
42,chair,0.855,0.0
42,person,0.775,0.0
42,dining table,0.68,0.0
43,chair,0.737,0.118
43,person,0.797,0.0
43,dining table,0.652,0.0
44,person,0.812,0.0
44,chair,0.659,0.106
44,dining table,0.663,0.0
45,chair,0.691,0.103
45,person,0.827,0.0
45,dining table,0.772,0.0
46,chair,0.68,0.088
46,person,0.721,0.0
46,dining table,0.687,0.0
47,person,0.782,0.0
47,chair,0.623,0.0
48,person,0.626,0.0
48,chair,0.546,0.0
49,person,0.766,0.0
50,person,0.558,0.0
51,person,0.763,0.0
51,refrigerator,0.516,0.0
73,person,0.82,0.0
76,person,0.608,0.0
76,chair,0.537,0.0
77,chair,0.626,0.122
78,chair,0.591,0.06
78,person,0.537,0.0
79,bottle,0.666,0.0
79,chair,0.657,0.0
80,bottle,0.549,0.0
81,person,0.512,0.0
83,chair,0.528,0.0
84,person,0.532,0.0
84,chair,0.508,0.0
86,bottle,0.6,0.0
86,chair,0.572,0.0
87,chair,0.581,0.0
88,chair,0.778,0.0
89,chair,0.873,0.0
93,bottle,0.545,0.0
94,chair,0.543,0.0
95,chair,0.638,0.0
96,chair,0.581,0.0
97,chair,0.557,0.0
100,cup,0.572,0.0
101,person,0.595,0.0
105,person,0.748,0.0
106,person,0.842,0.0
106,cup,0.562,0.0
107,person,0.738,0.0
108,person,0.841,0.0
109,person,0.833,0.0
110,person,0.856,0.0
110,cup,0.514,0.0
112,person,0.869,0.0
112,cup,0.501,0.0
113,person,0.828,0.0
114,person,0.859,0.0
