frame_id,class_id,mean_conf,std_conf
0,0,0.508,0.0
1,0,0.629,0.0
2,0,0.804,0.0
3,0,0.772,0.0
4,0,0.829,0.0
5,0,0.728,0.0
6,0,0.76,0.0
7,0,0.812,0.0
8,0,0.768,0.0
9,0,0.747,0.0
10,0,0.828,0.0
11,0,0.774,0.0
12,0,0.868,0.0
13,0,0.909,0.0
14,0,0.834,0.0
15,0,0.878,0.0
16,0,0.738,0.0
17,0,0.801,0.0
18,0,0.879,0.0
18,63,0.575,0.0
19,0,0.815,0.0
20,0,0.87,0.0
21,0,0.833,0.0
22,0,0.864,0.0
23,0,0.766,0.0
24,0,0.768,0.0
30,66,0.72,0.0
30,63,0.542,0.0
31,64,0.988,0.0
31,63,0.65,0.0
32,64,0.991,0.0
32,63,0.618,0.0
33,64,0.709,0.0
33,63,0.694,0.0
33,66,0.598,0.0
34,64,0.854,0.0
34,0,0.7,0.0
34,66,0.536,0.0
35,64,0.96,0.0
35,0,0.72,0.0
35,66,0.586,0.0
36,64,0.974,0.0
36,0,0.618,0.0
37,64,0.969,0.0
37,0,0.692,0.0
37,66,0.574,0.039
38,64,0.971,0.0
38,66,0.688,0.0
38,0,0.611,0.0
39,64,0.956,0.0
39,66,0.733,0.0
40,64,0.978,0.0
40,66,0.751,0.0
40,0,0.738,0.0
41,64,0.95,0.0
41,0,0.617,0.0
41,66,0.553,0.0
42,64,0.979,0.0
42,66,0.641,0.0
42,0,0.641,0.0
43,64,0.979,0.0
43,0,0.606,0.0
44,64,0.948,0.0
44,0,0.658,0.0
44,66,0.507,0.0
45,64,0.939,0.0
45,0,0.584,0.0
45,66,0.573,0.0
46,64,0.971,0.0
46,0,0.666,0.0
46,66,0.587,0.0
47,64,0.967,0.0
47,0,0.655,0.0
47,66,0.579,0.0
48,64,0.956,0.0
48,0,0.664,0.0
49,64,0.939,0.0
49,0,0.711,0.0
50,64,0.922,0.0
50,0,0.628,0.0
51,64,0.978,0.0
51,0,0.689,0.0
51,66,0.504,0.0
52,64,0.92,0.0
52,0,0.7,0.0
52,66,0.614,0.0
53,64,0.934,0.0
53,0,0.698,0.0
53,66,0.658,0.0
54,64,0.962,0.0
54,0,0.653,0.0
54,66,0.58,0.0
55,64,0.966,0.0
55,0,0.714,0.0
55,66,0.591,0.0
56,64,0.9,0.0
56,0,0.69,0.0
56,66,0.524,0.0
57,64,0.936,0.0
57,0,0.758,0.0
57,66,0.596,0.0
58,64,0.885,0.0
58,0,0.739,0.0
58,66,0.517,0.0
59,64,0.927,0.0
59,0,0.727,0.0
59,66,0.621,0.0
60,64,0.895,0.0
60,0,0.626,0.0
60,66,0.546,0.0
61,64,0.924,0.0
61,0,0.767,0.0
61,66,0.6,0.054
62,64,0.943,0.0
62,0,0.664,0.0
62,66,0.531,0.0
63,64,0.927,0.0
63,0,0.658,0.0
63,66,0.535,0.0
64,64,0.977,0.0
64,0,0.713,0.0
64,66,0.642,0.0
65,64,0.946,0.0
65,0,0.753,0.0
65,66,0.742,0.0
66,64,0.967,0.0
66,0,0.756,0.0
66,66,0.748,0.0
67,64,0.951,0.0
67,0,0.731,0.0
67,66,0.585,0.065
68,64,0.945,0.0
68,0,0.701,0.0
68,66,0.519,0.0
69,64,0.939,0.0
69,0,0.644,0.0
70,64,0.937,0.0
70,0,0.647,0.0
70,66,0.596,0.0
71,64,0.942,0.0
71,0,0.689,0.0
71,66,0.572,0.06
72,64,0.95,0.0
72,66,0.763,0.0
72,0,0.676,0.0
73,64,0.922,0.0
73,0,0.717,0.0
73,66,0.606,0.0
74,64,0.956,0.0
74,0,0.708,0.0
74,66,0.6,0.0
75,64,0.926,0.0
75,0,0.726,0.0
75,66,0.606,0.08
76,64,0.94,0.0
76,66,0.696,0.0
76,0,0.668,0.0
77,64,0.955,0.0
77,0,0.711,0.0
77,66,0.521,0.0
78,64,0.942,0.0
78,66,0.614,0.077
78,0,0.64,0.0
79,64,0.96,0.0
79,0,0.648,0.0
79,66,0.597,0.0
80,64,0.965,0.0
80,0,0.631,0.0
80,66,0.611,0.0
81,64,0.966,0.0
81,0,0.574,0.0
82,64,0.986,0.0
82,0,0.721,0.0
82,66,0.59,0.0
83,64,0.985,0.0
83,66,0.624,0.07
83,0,0.616,0.0
84,64,0.991,0.0
84,0,0.68,0.0
85,64,0.952,0.0
85,0,0.537,0.0
86,64,0.971,0.0
86,63,0.608,0.0
86,66,0.599,0.0
87,64,0.978,0.0
87,63,0.619,0.0
87,66,0.609,0.0
88,64,0.925,0.0
88,66,0.616,0.0
88,63,0.601,0.0
89,64,0.963,0.0
89,66,0.622,0.0
89,63,0.594,0.0
90,64,0.9,0.0
90,66,0.737,0.0
90,63,0.677,0.0
90,0,0.522,0.0
91,64,0.965,0.0
91,63,0.655,0.0
91,66,0.655,0.0
91,0,0.585,0.0
92,64,0.986,0.0
92,66,0.706,0.0
92,63,0.579,0.0
92,0,0.528,0.0
93,64,0.978,0.0
93,66,0.707,0.0
93,63,0.601,0.0
94,64,0.956,0.0
94,66,0.803,0.0
94,63,0.627,0.0
95,64,0.975,0.0
95,66,0.75,0.0
95,63,0.661,0.0
96,64,0.943,0.0
96,63,0.685,0.069
96,66,0.717,0.0
96,0,0.581,0.0
97,64,0.979,0.0
97,63,0.758,0.0
