class_name,total_mean_confidence,total_std_dev
person,0.7218492897147806,0.10846298025426909
chair,0.6682350635528564,0.0980458707097985
dining table,0.6646898811863314,0.08495826656564934
tv,0.6108585650270636,0.07869158425590865
refrigerator,0.5162349939346313,0.0
bottle,0.5620085171290806,0.05068369267333806
cup,0.6471663500581469,0.12509421045859836
mouse,0.8424093763033549,0.09942825048774155
keyboard,0.6344313555293613,0.09191110027453023
scissors,0.6169305443763733,0.0
laptop,0.7024038679459516,0.12392684773659132
knife,0.6412463903427124,0.10028093877477995
cell phone,0.7966476107130245,0.12079076311403286
snowboard,0.6486092805862427,0.041370689868927
remote,0.7604989134348356,0.09097657059753372
