timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1753271443.0273902,-0.006,-0.021,1.03,-2.67,2.007,-0.366,-514.015,96.775,21.891
1753271443.2036254,-0.005,-0.022,1.035,-2.701,1.923,-0.32,-515.831,96.049,21.891
1753271443.404086,-0.006,-0.021,1.03,-2.693,1.93,-0.198,-512.744,96.957,22.066
1753271443.5306513,-0.006,-0.023,1.028,-2.808,1.884,-0.252,-513.289,95.686,21.19
1753271443.6541169,-0.007,-0.021,1.024,-2.739,1.984,-0.305,-512.563,94.596,21.54
1753271443.7853374,-0.007,-0.021,1.034,-2.67,1.961,-0.244,-512.926,93.87,21.891
1753271443.9079957,-0.005,-0.02,1.029,-2.731,1.907,-0.351,-512.381,98.046,20.314
1753271444.0348685,-0.006,-0.019,1.031,-2.708,1.945,-0.32,-515.105,99.317,21.54
1753271444.1597476,-0.008,-0.02,1.031,-2.785,1.961,-0.29,-512.926,96.412,22.241
1753271444.2825572,-0.006,-0.019,1.029,-2.731,1.9,-0.359,-511.837,97.864,21.19
1753271444.4057474,-0.005,-0.021,1.028,-2.693,1.915,-0.29,-515.286,97.32,22.416
1753271444.5286498,-0.007,-0.02,1.031,-2.754,1.884,-0.351,-514.56,97.32,19.614
1753271444.6526742,-0.004,-0.021,1.032,-2.647,1.953,-0.298,-513.289,97.501,19.789
1753271444.7696748,-0.005,-0.021,1.033,-2.785,1.991,-0.305,-515.468,95.686,22.591
1753271444.8869581,-0.005,-0.02,1.032,-2.686,1.968,-0.229,-512.926,98.954,21.54
1753271445.0052764,-0.004,-0.021,1.029,-2.678,1.915,-0.351,-512.744,96.593,22.066
1753271445.1233528,-0.007,-0.022,1.026,-2.762,1.907,-0.282,-514.56,94.778,20.314
1753271445.242761,-0.006,-0.023,1.031,-2.777,1.961,-0.328,-513.652,94.596,20.139
1753271445.3615775,-0.004,-0.02,1.03,-2.693,1.877,-0.259,-513.834,94.052,19.264
1753271445.4804943,-0.006,-0.02,1.03,-2.678,1.945,-0.328,-511.292,95.141,19.614
1753271445.6004562,-0.005,-0.02,1.033,-2.8,1.93,-0.29,-512.018,97.683,22.766
1753271445.7208707,-0.005,-0.022,1.032,-2.678,2.052,-0.244,-513.471,95.867,19.614
1753271445.8492866,-0.006,-0.021,1.027,-2.686,1.869,-0.305,-514.015,94.959,22.241
1753271445.9783318,-0.006,-0.019,1.031,-2.716,1.984,-0.259,-516.194,93.87,22.241
1753271446.09943,-0.004,-0.019,1.033,-2.663,1.968,-0.229,-513.289,96.412,20.84
1753271446.224502,-0.005,-0.021,1.031,-2.762,1.984,-0.282,-512.381,94.778,21.365
1753271446.3480012,-0.006,-0.022,1.032,-2.678,1.915,-0.366,-512.381,96.957,20.314
1753271446.4722946,-0.004,-0.021,1.032,-2.64,1.9,-0.305,-513.471,97.32,19.264
1753271446.5944118,-0.006,-0.021,1.031,-2.777,1.953,-0.343,-512.563,97.138,22.591
1753271446.720133,-0.006,-0.021,1.028,-2.716,1.915,-0.298,-513.834,97.32,21.015
1753271446.8438225,-0.007,-0.019,1.033,-2.686,1.938,-0.328,-511.655,98.046,21.715
1753271446.9647613,-0.006,-0.02,1.03,-2.686,1.968,-0.259,-514.015,96.049,19.789
1753271447.0933967,-0.004,-0.02,1.028,-2.663,1.991,-0.298,-512.563,95.686,19.789
1753271447.2206106,-0.005,-0.022,1.031,-2.754,1.915,-0.298,-514.56,95.504,24.167
1753271447.346524,-0.003,-0.02,1.03,-2.686,1.961,-0.275,-514.015,97.138,20.49
1753271447.4755738,-0.004,-0.022,1.031,-2.762,1.945,-0.328,-513.289,98.228,22.241
1753271447.5947866,-0.006,-0.022,1.033,-2.67,1.93,-0.32,-513.471,96.23,21.365
1753271447.714274,-0.007,-0.024,1.032,-2.708,1.945,-0.359,-512.926,97.138,20.49
1753271447.8338919,-0.006,-0.022,1.03,-2.785,2.014,-0.305,-513.834,96.957,22.416
1753271447.9529278,-0.005,-0.02,1.031,-2.747,1.999,-0.305,-512.563,97.864,20.84
1753271448.07549,-0.006,-0.022,1.032,-2.724,1.991,-0.32,-514.742,96.412,21.19
1753271448.19799,-0.005,-0.023,1.036,-2.708,1.984,-0.298,-515.649,96.593,21.365
1753271448.320776,-0.005,-0.02,1.034,-2.686,1.961,-0.267,-513.652,92.781,20.84
1753271448.4427722,-0.006,-0.02,1.032,-2.754,1.984,-0.275,-514.197,96.957,22.416
1753271448.5645092,-0.006,-0.021,1.032,-2.686,1.945,-0.244,-513.471,95.504,19.264
1753271448.687193,-0.004,-0.018,1.03,-2.678,1.938,-0.305,-512.563,96.412,20.84
