frame_id,x,y,z,t_norm,avg_flow,status
0,0.0,0.0,0.0,0.0,0.13053173,idle
1,0.0,0.0,0.0,0.0,0.023892723,idle
2,0.0,0.0,0.0,0.0,0.016846387,idle
3,0.0,0.0,0.0,0.0,0.012900335,idle
4,0.0,0.0,0.0,0.0,0.014164643,idle
5,0.0,0.0,0.0,0.0,0.014832748,idle
6,0.0,0.0,0.0,0.0,0.013908738,idle
7,0.0,0.0,0.0,0.0,0.01848467,idle
8,0.0,0.0,0.0,0.0,0.013882378,idle
9,0.0,0.0,0.0,0.0,0.013253262,idle
10,0.0,0.0,0.0,0.0,0.0134995915,idle
11,0.0,0.0,0.0,0.0,0.013231248,idle
12,0.0,0.0,0.0,0.0,0.018311132,idle
13,0.0,0.0,0.0,0.0,0.011323662,idle
14,0.0,0.0,0.0,0.0,0.0140756965,idle
15,0.0,0.0,0.0,0.0,0.011512363,idle
16,0.0,0.0,0.0,0.0,0.013411402,idle
17,0.0,0.0,0.0,0.0,0.012756317,idle
18,0.0,0.0,0.0,0.0,0.014829964,idle
19,0.0,0.0,0.0,0.0,0.012453744,idle
20,0.0,0.0,0.0,0.0,0.011600695,idle
21,0.0,0.0,0.0,0.0,0.012656076,idle
22,0.0,0.0,0.0,0.0,0.01328573,idle
23,0.0,0.0,0.0,0.0,0.012126153,idle
24,0.0,0.0,0.0,0.0,0.012569607,idle
25,0.0,0.0,0.0,0.0,0.011835432,idle
26,0.0,0.0,0.0,0.0,0.012225274,idle
27,0.0,0.0,0.0,0.0,0.018767394,idle
28,0.0,0.0,0.0,0.0,0.012423894,idle
29,0.0,0.0,0.0,0.0,0.012398571,idle
30,0.0,0.0,0.0,0.0,0.01449155,idle
31,0.0,0.0,0.0,0.0,0.020456947,idle
32,0.0,0.0,0.0,0.0,0.014717967,idle
33,0.0,0.0,0.0,0.0,0.012632394,idle
34,0.0,0.0,0.0,0.0,0.011900777,idle
35,0.0,0.0,0.0,0.0,0.012860132,idle
36,0.0,0.0,0.0,0.0,0.012395332,idle
37,0.0,0.0,0.0,0.0,0.012906989,idle
38,0.0,0.0,0.0,0.0,0.016159814,idle
39,0.0,0.0,0.0,0.0,0.017165037,idle
40,0.0,0.0,0.0,0.0,0.021552188,idle
41,0.0,0.0,0.0,0.0,0.02066035,idle
42,0.0,0.0,0.0,0.0,0.023076491,idle
43,0.0,0.0,0.0,0.0,0.016201476,idle
44,0.0,0.0,0.0,0.0,0.016353508,idle
45,0.0,0.0,0.0,0.0,0.013359147,idle
46,0.0,0.0,0.0,0.0,0.01569089,idle
47,0.0,0.0,0.0,0.0,0.014446243,idle
48,0.0,0.0,0.0,0.0,0.01798566,idle
49,0.0,0.0,0.0,0.0,0.014024908,idle
